 "pm20" , "pm20Label" , "life" , "nationality" , "activities" , "locations" , "count" ,
 "http://purl.org/pressemappe20/folder/pe/000293" , "Albert I. <Belgien, König>" , "1875-1934" , "Belgium" , "Staatsoberhaupt; Head of state" , "Belgien; Belgium" , "173" ,
 "http://purl.org/pressemappe20/folder/pe/006961" , "Haile Selassie <Äthiopien, Kaiser, I.>" , "1892-1975" , "Ethiopia" , "Staatsoberhaupt; Head of state" , "Äthiopien; Ethiopia" , "171" ,
 "http://purl.org/pressemappe20/folder/pe/006961" , "Haile Selassie <Äthiopien, Kaiser, I.>" , "1892-1975" , "Äthiopien" , "Staatsoberhaupt; Head of state" , "Äthiopien; Ethiopia" , "171" ,
 "http://purl.org/pressemappe20/folder/pe/003691" , "D'Annunzio, Gabriele" , "1863-1938" , "Italien" , "Kultur; Culture" , "Italien; Italy" , "169" ,
 "http://purl.org/pressemappe20/folder/pe/003691" , "D'Annunzio, Gabriele" , "1863-1938" , "Italy" , "Kultur; Culture" , "Italien; Italy" , "169" ,
 "http://purl.org/pressemappe20/folder/pe/000740" , "Attlee, Clement R." , "1883-1967" , "Großbritannien" , "Politik; Politics" , "Großbritannien; United Kingdom" , "168" ,
 "http://purl.org/pressemappe20/folder/pe/000740" , "Attlee, Clement R." , "1883-1967" , "United Kingdom" , "Politik; Politics" , "Großbritannien; United Kingdom" , "168" ,
 "http://purl.org/pressemappe20/folder/pe/023724" , "Poincaré, Raymond" , "1860-1934" , "France" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Frankreich; France" , "165" ,
 "http://purl.org/pressemappe20/folder/pe/023724" , "Poincaré, Raymond" , "1860-1934" , "Frankreich" , "Politik; Politics; Staatsoberhaupt; Head of state" , "Frankreich; France" , "165" ,
 "http://purl.org/pressemappe20/folder/pe/019622" , "Jiang, Jieshi" , "1887-1975" , "China" , "Staatsoberhaupt; Head of state; Militär; Military; Politik; Politics" , "Formosa; Formosa; China; China" , "163" ,
 "http://purl.org/pressemappe20/folder/pe/019622" , "Jiang, Jieshi" , "1887-1975" , "China" , "Staatsoberhaupt; Head of state; Militär; Military; Politik; Politics" , "Formosa; Formosa; China; China" , "163" ,
 "http://purl.org/pressemappe20/folder/pe/008328" , "Hugenberg, Alfred" , "1865-1951" , "Deutschland" , "Politik; Politics; Economy; Wirtschaft" , "Deutschland; Germany" , "158" ,
 "http://purl.org/pressemappe20/folder/pe/008328" , "Hugenberg, Alfred" , "1865-1951" , "Germany" , "Politik; Politics; Economy; Wirtschaft" , "Deutschland; Germany" , "158" ,
 "http://purl.org/pressemappe20/folder/pe/007739" , "Heß, Rudolf" , "1894-1987 " , "Deutschland" , "Politik; Politics" , "Deutschland; Germany" , "156" ,
 "http://purl.org/pressemappe20/folder/pe/007739" , "Heß, Rudolf" , "1894-1987 " , "Germany" , "Politik; Politics" , "Deutschland; Germany" , "156" ,
 "http://purl.org/pressemappe20/folder/pe/018674" , "Wilson, Woodrow" , "1856-1924" , "USA" , "Staatsoberhaupt; Head of state" , "USA; United States" , "155" ,
 "http://purl.org/pressemappe20/folder/pe/018674" , "Wilson, Woodrow" , "1856-1924" , "United States" , "Staatsoberhaupt; Head of state" , "USA; United States" , "155" ,
 "http://purl.org/pressemappe20/folder/pe/011907" , "Mann, Thomas" , "1875-1955" , "Deutschland" , "Kultur; Culture" , "Deutschland; Germany" , "154" ,
 "http://purl.org/pressemappe20/folder/pe/011907" , "Mann, Thomas" , "1875-1955" , "Germany" , "Kultur; Culture" , "Deutschland; Germany" , "154" ,
 "http://purl.org/pressemappe20/folder/pe/009975" , "Köhler, Bernhard" , "1882-1939" , "Deutschland" , "Politik; Politics; Wirtschaftswissenschaft; Economics" , "Deutschland; Germany" , "154" ,
 "http://purl.org/pressemappe20/folder/pe/009975" , "Köhler, Bernhard" , "1882-1939" , "Germany" , "Politik; Politics; Wirtschaftswissenschaft; Economics" , "Deutschland; Germany" , "154" ,
